ts_day,num_accounts,rewards_hnt,date
1599264000,"2,911","182,333",9/5/2020
1599350400,"2,918","167,030",9/6/2020
1599436800,"2,919","181,671",9/7/2020
1599523200,"2,923","173,539",9/8/2020
1599609600,"2,931","178,761",9/9/2020
1599696000,"2,943","207,736",9/10/2020
1599782400,"2,952","199,368",9/11/2020
1599868800,"2,948","190,810",9/12/2020
1599955200,"2,956","183,965",9/13/2020
1600041600,"2,967","181,690",9/14/2020
1600128000,"2,990","181,572",9/15/2020
1600214400,"3,006","142,715",9/16/2020
1600300800,"2,883","180,965",9/17/2020
1600387200,"2,990","174,282",9/18/2020
1600473600,"2,998","176,350",9/19/2020
1600560000,"2,997","173,204",9/20/2020
1600646400,"3,024","169,424",9/21/2020
1600732800,"3,056","171,907",9/22/2020
1600819200,"3,072","170,375",9/23/2020
1600905600,"3,097","170,393",9/24/2020
1600992000,"3,124","165,942",9/25/2020
1601078400,"3,137","166,505",9/26/2020
1601164800,"3,129","165,190",9/27/2020
1601251200,"3,143","165,199",9/28/2020
1601337600,"3,182","160,194",9/29/2020
1601424000,"3,212","162,815",9/30/2020
1601510400,"3,244","165,823",10/1/2020
1601596800,"3,299","165,170",10/2/2020
1601683200,"3,330","161,816",10/3/2020
1601769600,"3,341","164,636",10/4/2020
1601856000,"3,360","162,687",10/5/2020
1601942400,"3,390","161,817",10/6/2020
1602028800,"3,416","162,579",10/7/2020
1602115200,"3,443","161,391",10/8/2020
1602201600,"3,488","151,410",10/9/2020
1602288000,"3,515","131,854",10/10/2020
1602374400,"3,530","131,528",10/11/2020
1602460800,"3,535","137,167",10/12/2020
1602547200,"3,547","126,016",10/13/2020
1602633600,"3,561","135,762",10/14/2020
1602720000,"3,582","130,785",10/15/2020
1602806400,"3,585","133,912",10/16/2020
1602892800,"3,582","131,745",10/17/2020
1602979200,"3,578","132,942",10/18/2020
1603065600,"3,582","134,910",10/19/2020
1603152000,"3,600","169,778",10/20/2020
1603238400,"3,612","157,185",10/21/2020
1603324800,"3,618","168,236",10/22/2020
1603411200,"3,616","176,812",10/23/2020
1603497600,"3,615","166,116",10/24/2020
1603584000,"3,621","172,470",10/25/2020
1603670400,"3,617","174,972",10/26/2020
