,service_domain,quarter,num_nodes_final,total_rewards,total_rewards_dollar,total_rewards_dollar_fixed,total_relays,avg_stake,rewards_per_node_final,rewards_per_node_final_fixed,active
75,poktvalidators.nl,20232,5.0,348.598115,12.178325742055078,10.457943449999998,2099023.0,60000.0,1.3531473046727864,1.1619937166666665,1.0
76,poktymcpoktface.com,20232,11.0,18622.630492,700.5968651889706,558.67891476,28880249.0,60000.0,21.23020803602941,16.929664083636364,1.0
77,qspider.com,20232,32.0,51446.519932,1928.057057846225,1543.39559796,92483382.0,48017.842909784595,21.9097392937071,17.538586340454547,1.0
78,raddicted.eu,20232,6.0,7503.315039,285.37225285295426,225.09945117,11711590.0,66546.25875414671,17.83576580330964,14.068715698125,0.0
79,republiccrypto-runtime.com,20232,30.0,32132.341709,1342.884368688014,963.97025127,49103241.0,64360.69469835469,21.65942530141958,15.547907278548387,0.0
80,rockpokt.net,20232,20.0,34522.208511,1287.3434884612657,1035.66625533,61500707.0,53076.92307692308,21.455724807687762,17.2611042555,1.0
81,rockx.com,20232,1.0,243.828654,8.97391243132416,7.31485962,1536921.0,15000.0,2.99130414377472,2.43828654,1.0
82,savvynft.info,20232,4.0,1274.937258,45.08981011306321,38.24811774,2046057.0,25452.06766917293,22.544905056531604,19.12405887,0.0
83,selfhost.co,20232,,532.219934,19.631949301750325,15.96659802,2211662.0,,2.1813277001944806,1.7740664466666667,
84,sendnodes.io,20232,889.0,2880348.549285,110322.50727715086,86410.45647855,4556151483.0,58585.467566770596,43.331699637529795,33.93969225394737,1.0
85,solarnode.net,20232,,625.567899,24.490935757907245,18.76703697,969965.0,,8.163645252635748,6.25567899,
86,spacebelt.cloud,20232,30.0,104344.8633,3940.3887179726103,3130.345899,188657409.0,60000.0,44.27403053901809,35.17242583146067,1.0
87,stakely.io,20232,34.0,1943.593925,69.51369905107634,58.30781775,11996886.0,15000.0,0.681506853441925,0.5716452720588235,1.0
88,stakenode.club,20232,1.0,437.329629,16.55208186882848,13.119888869999999,677419.0,59417.47572815534,5.517360622942827,4.37329629,1.0
89,stakenodes.org,20232,25.0,44150.764373,1654.134184450716,1324.52293119,117401871.0,39000.0,23.297664569728394,18.65525255197183,1.0
90,stakesquid.eu,20232,,7.245887,0.3067590791474555,0.21737661,21391.0,,0.3067590791474555,0.21737661,
91,staketomorrow.com,20232,127.0,439668.611772,16830.77854158274,13190.058353159999,684606476.0,60000.0,44.76270888718813,35.07994242861702,1.0
92,starferrum.com,20232,,882.8950480000001,32.782798904742506,26.48685144,1397907.0,,10.927599634914168,8.82895048,
93,starlinktoday.com,20232,345.0,1096597.568403,41684.54629613442,32897.927052089995,1713166178.0,60000.0,43.15170424030478,34.055825105683226,1.0
94,steonode.de,20232,,432.326592,16.19558395540585,12.969797759999999,2678929.0,,5.398527985135284,4.32326592,
95,thundernetwork.xyz,20232,108.0,87886.825402,3392.22067352083,2636.6047620599998,548853757.0,15413.080895008605,10.768954519113747,8.370173847809523,1.0
